Acteur,id_Acteur,nb_films
Naomi Watts,3489,56
James Hong,20904,59
Dick Miller,102441,79
William Shatner,1748,54
Willem Dafoe,5293,89
Michael Paré,60650,50
Elijah Wood,109,54
Jennifer Tilly,7906,58
Robert Loggia,1162,58
Seymour Cassel,5950,58
Cary Elwes,2130,57
James Garner,16896,59
James Coburn,5563,58
Danny Glover,2047,96
Heather Graham,69122,59
George Kennedy,12950,62
Fred Ward,10430,50
Kathleen Freeman,7210,58
Randy Quaid,1811,61
Jason Robards,4765,54
Sam Shepard,9880,58
Marcia Gay Harden,4726,50
Sean Astin,1328,55
Charlton Heston,10017,68
Om Puri,11851,60
Allison Janney,19,53
Gérard Depardieu,16927,110
Mickey Rourke,2295,59
Ed Lauter,21523,58
David Warner,2076,53
Michael McKean,21731,56
Bill Nighy,2440,61
Luis Guzmán,40481,61
John Lithgow,12074,57
Jeff Corey,9596,51
Tomás Milián,21708,63
Stephen Root,17401,60
Ed Begley Jr.,42157,54
Hal Holbrook,11066,50
Matt Damon,1892,67
Charlie Sheen,6952,57
Vernon Dobtcheff,649,50
Oliver Platt,17485,62
Toby Jones,13014,52
Tilda Swinton,3063,54
J.K. Simmons,18999,78
Tom Berenger,13022,55
Rutger Hauer,585,72
Robert Mitchum,10158,75
Tony Curtis,3150,57
Stellan Skarsgård,1640,86
Shirley MacLaine,4090,56
Robert Patrick,418,57
William Holden,8252,51
Ernest Borgnine,7502,70
Robert Ryan,8253,54
Mark Strong,2983,55
Peter Stormare,53,77
Eli Wallach,3265,56
Kevin Michael Richardson,24362,51
Jane Fonda,6352,50
Akim Tamiroff,30719,55
John Rhys-Davies,655,52
Robert Forster,5694,70
Paul Fix,8496,65
Beau Bridges,2222,60
Christopher Lee,113,148
Ian Wolfe,2782,59
Keenan Wynn,4966,82
Reginald Owen,5832,65
Burt Reynolds,16475,78
Vincent Price,1905,82
Kris Kristofferson,10823,67
David Cross,212,51
Sam Rockwell,6807,57
Octavia Spencer,6944,53
Michael Shannon,335,56
Stacy Keach,825,60
Franco Nero,22383,58
Jeff Bennett,34982,67
Donald Pleasence,9221,87
Gary Cooper,4068,59
Cary Grant,2638,66
James Stewart,854,75
Bess Flowers,121323,241
William Schallert,15992,50
John George,97999,79
Martin Balsam,1936,52
Mickey Rooney,1937,74
Ellen Corby,5738,51
Raymond Burr,7685,64
Clark Gable,11492,54
Alan Hale,8729,63
Ward Bond,4303,81
Irving Bacon,30530,98
Joseph Crehan,89729,61
Joseph Cotten,7664,52
Ginger Rogers,30003,51
James Mason,2091,76
Humphrey Bogart,4110,64
Peter Lorre,2094,55
John Qualen,4119,55
Gino Corrado,9096,62
Elisha Cook Jr.,3339,59
Paul Harvey,34320,54
Gregory Peck,8487,53
Eddie Albert,11998,50
Frank Faylen,17759,65
Peter O'Toole,11390,50
Buster Keaton,8635,65
Bert Moorhouse,122984,57
Orson Welles,40,67
Ray Milland,7124,71
Bette Davis,3380,75
George Sanders,3361,65
Joan Crawford,31550,62
C. Aubrey Smith,2438,50
Spencer Tracy,12147,54
Sig Ruman,2497,50
James Flavin,3262,62
Myrna Loy,13577,57
Ann Doran,2772,52
David Niven,14261,54
Frank Sinatra,4347,53
John Carradine,8516,109
Trevor Howard,12726,55
John Mills,11859,54
Lionel Barrymore,17753,72
Charles Lane,29579,81
J. Farrell MacDonald,9091,53
William Demarest,21510,56
George Chandler,33178,55
Byron Foulger,96722,54
Barbara Stanwyck,14974,63
Doris Lloyd,21878,52
John Wayne,4165,125
Walter Pidgeon,12308,50
Walter Brennan,4302,54
James Cagney,5788,55
Frank McHugh,74875,55
J. Carrol Naish,30686,62
Harry Morgan,4073,60
Donald Crisp,8841,56
Kirk Douglas,2090,66
Timothy Spall,9191,60
Seth Green,13922,51
Vittorio Gassman,12259,50
Tom Skerritt,4139,58
Karen Black,8963,54
Henry Fonda,4958,73
Herbert Lom,14503,57
Dennis O'Keefe,88462,52
Harry Andrews,19463,51
Denholm Elliott,656,51
Charles Bronson,4960,63
Jack Elam,4965,50
Burt Lancaster,13784,68
Charlie Chaplin,13848,54
Lon Chaney Jr.,4072,56
Michael Hordern,39741,50
Michael Caine,3895,110
Chishu Ryu,33135,51
Boris Karloff,2922,73
Oliver Reed,936,50
Klaus Kinski,14277,50
Cate Blanchett,112,50
Robert Wagner,9208,54
Will Ferrell,23659,51
Charlotte Rampling,44079,61
Allen Jenkins,30005,51
Henry O'Neill,20368,69
Russell Hicks,13969,58
Bing Crosby,24937,56
Edward G. Robinson,13566,63
David Koechner,28638,55
Addison Richards,97007,55
David Carradine,141,60
Richard Widmark,12149,53
Vinnie Jones,980,52
James Franco,17051,83
John DiMaggio,31531,55
Glenn Ford,3381,56
Morris Ankrum,81182,50
Selmer Jackson,105810,55
Justin Long,15033,53
Ray Teal,93624,59
Tom Kenny,78798,52
Grey Griffin,15761,71
Shah Rukh Khan,35742,55
Anupam Kher,6217,56
Lam Suet,25251,54
Amitabh Bachchan,35780,57
Randolph Scott,1009,59
Akshay Kumar,35070,56
Paresh Rawal,85033,53
